Bird, 200.0, 672.60016, 0.0, 25.0, 25.0
Bird, 150.0, 672.60016, 0.0, 25.0, 25.0
Bird, 100.0, 672.60016, 0.0, 25.0, 25.0
Box, 922.0002, 673.02185, 6.768395E-5, 20.0, 24.157036
Box, 902.74713, 635.0808, -0.003700893, 9.16529, 100.0
Box, 944.7614, 635.0863, -0.0031805127, 9.16529, 100.0
Box, 922.9387, 580.57733, 1.5711747, 9.16529, 56.661163
Box, 878.79, 613.4134, -0.0018785994, 20.0, 143.33885
Box, 972.90656, 613.42645, -7.80752E-5, 20.0, 143.33885
Box, 923.8762, 531.82263, 1.57133, 20.0, 132.50414
Pig, 901.20233, 563.5952, -1.5515507, 25.0, 25.0
Box, 1052.9326, 608.0236, 4.4787457E-6, 20.0, 154.17357
Box, 1104.1359, 608.02094, -4.0861716E-5, 20.0, 154.17357
Box, 1078.855, 521.0641, 1.5701481, 20.0, 110.83472
Box, 1080.9612, 501.3219, 1.5702561, 20.0, 100.0
Box, 1077.407, 481.5204, 1.5699654, 20.0, 165.00829
Box, 1046.0448, 459.63232, -0.0011688855, 20.0, 24.157036
Box, 1105.55, 459.53934, -0.0020192924, 20.0, 24.157036
Box, 1069.6157, 443.07275, 1.5688123, 9.16529, 100.0
Box, 1041.2448, 426.5709, -0.0011044375, 20.0, 24.157036
Box, 1091.0392, 426.52267, 0.0013665024, 20.0, 24.157036
Box, 1055.7255, 426.5464, -0.0022937437, 9.16529, 24.157036
Pig, 1070.6619, 407.6805, 1.0412354, 25.0, 25.0
Box, 1053.6177, 397.0776, -0.001465007, 9.16529, 34.991745
Box, 1102.8123, 397.11853, 0.0116173765, 9.16529, 34.991745
Box, 1096.2806, 375.0976, 1.5732541, 9.16529, 100.0
Pig, 893.39935, 509.3945, -15.592548, 25.0, 25.0
Box, 687.013, 680.5256, 1.570093, 9.16529, 100.0
Box, 646.1898, 626.0448, -0.003721008, 9.16529, 100.0
Box, 724.38904, 626.0343, -0.0015554208, 9.16529, 100.0
Box, 689.63525, 626.04266, 4.927877E-4, 20.0, 100.0
Box, 681.9256, 571.5508, 1.571346, 9.16529, 100.0
Box, 655.28687, 554.9823, -0.001414012, 9.16529, 24.157036
Box, 719.47577, 554.9859, 6.3868443E-4, 9.16529, 24.157036
Box, 684.9246, 538.41846, 1.5701771, 9.16529, 230.01659
Pig, 699.29614, 521.4364, 0.9262159, 25.0, 25.0
Box, 657.07153, 505.61005, 2.4796728E-4, 9.16529, 56.661163
Box, 726.46533, 505.55194, -0.008402188, 9.16529, 56.661163
Box, 688.72485, 472.74734, 1.5698639, 9.16529, 100.0
