Bird, 200.0, 672.60016, 0.0, 25.0, 25.0
Bird, 150.0, 672.60016, 0.0, 25.0, 25.0
Bird, 100.0, 672.60016, 0.0, 25.0, 25.0
Box, 770.03125, 585.09296, 7.450073E-5, 20.0, 200.0
Box, 838.7818, 585.1061, 5.135572E-4, 20.0, 200.0
Box, 961.583, 635.11066, 2.70569E-4, 20.0, 100.0
Box, 1031.8384, 635.1119, -9.6137705E-4, 20.0, 100.0
Box, 993.74634, 575.2508, 1.5710996, 20.0, 100.0
Box, 799.7671, 475.19046, 1.5713644, 20.0, 100.0
Box, 802.0604, 455.34305, 1.5713758, 20.0, 100.0
Box, 952.5526, 515.3483, 6.887523E-4, 20.0, 100.0
Box, 1028.7355, 515.4073, -0.0010689102, 20.0, 100.0
Box, 984.1528, 455.50336, 1.5713238, 20.0, 100.0
Box, 892.16644, 435.58334, 1.5725439, 20.0, 364.0
Box, 903.2499, 1468.6964, 1.5609294, 20.0, 100.0
Box, 901.6428, 675.1542, 1.5713098, 20.0, 100.0
Box, 901.5864, 655.322, 1.571432, 20.0, 100.0
Box, 899.98206, 545.4551, 6.6496077E-4, 20.0, 200.0
Box, 860.8188, 375.63605, 0.0013201154, 20.0, 100.0
Box, 915.60315, 375.7032, 0.0019471059, 20.0, 100.0
Box, 874.933, 315.75812, 1.5721271, 20.0, 100.0
Box, 860.7052, 295.86096, 1.5719098, 20.0, 200.0
Pig, 864.77594, 273.47147, -1.0245553, 25.0, 25.0
Pig, 892.54333, 413.14417, -0.7814846, 25.0, 25.0
Pig, 982.0218, 552.85516, -0.56129086, 25.0, 25.0
Pig, 799.0, 672.57806, 0.0, 25.0, 25.0
Box, 785.75653, 415.57803, 1.5719273, 20.0, 100.0
Box, 773.04297, 355.68433, 0.0021444373, 20.0, 100.0
Pig, 939.06494, 632.9491, 0.6679243, 25.0, 25.0
Pig, 999.0, 672.5516, 0.0, 25.0, 25.0
Pig, 838.3793, 393.46533, 2.767514, 25.0, 25.0
Box, 996.43445, 375.9016, 0.0021297191, 20.0, 100.0
Box, 1060.0837, 375.95413, 6.8037387E-4, 20.0, 100.0
Box, 1042.646, 316.0576, 1.5714216, 20.0, 100.0
Box, 1044.3577, 256.17896, 0.0018299568, 20.0, 100.0
Box, 969.33276, 229.87093, 4.220095, 20.0, 200.0
