,,,Java,,,,,,,,,SQL,
,,C#,,JavaScript,jQuery,,,,PHP,,,,MySql / VbScript
,,C#,,JavaScript,jQuery,,,,,,,SQL,"PL/SQL, XSLT, XQuery"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,C#,,,,,,,,Python,,,
C,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,
,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Java,,jQuery,,,,PHP,,,SQL,
,,,Java,,jQuery,,,,PHP,Python,,SQL,
,,C#,,JavaScript,jQuery,,,,,,,,
C,,,Java,JavaScript,jQuery,,,Objective-C,,,,,"Freemarker, Soy"
C,,,Java,JavaScript,,,,,PHP,Python,,SQL,Android SDK
,,,,JavaScript,,,,,,Python,,SQL,
,,,,,,,,,,,,,
C,,,,JavaScript,,,Node.js,,,Python,Ruby,,Lua
C,C++,,Java,,,,,,PHP,Python,,SQL,
,,,,,,,,,,,,,
C,C++,,Java,JavaScript,,,,,PHP,,,SQL,Actionscript
,,,,,,,,,,,,,
,C++,,,,,,,Objective-C,,,,,matlab
C,,,Java,JavaScript,jQuery,,,,,,,SQL,
,,,,JavaScript,,,,,PHP,,,SQL,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C,C++,,,,,,,,,Python,,,
,C++,,Java,JavaScript,jQuery,,,,PHP,,,,
C,C++,,Java,JavaScript,jQuery,,,,,Python,Ruby,,
,,C#,,JavaScript,jQuery,,Node.js,,,,,SQL,
,C++,C#,,,jQuery,,,,,,,,
,,C#,,JavaScript,,,,,,,,SQL,
,,,,JavaScript,,,,,,,,SQL,
,,C#,,,,,,,,,,SQL,Delphi
,,,Java,,,,,Objective-C,,,,,
,,C#,,JavaScript,,,,,,,,SQL,
C,C++,C#,Java,JavaScript,,,,Objective-C,PHP,,,SQL,
,,,Java,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,C#,,JavaScript,jQuery,,,,,,,SQL,PowerShell
,,C#,,JavaScript,jQuery,,,,,,,SQL,
,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,angularjs
,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,
