Java,JavaScript,,,,,,SQL,,C++,C,,,,
,JavaScript,CSS,PHP,,Objective-C,,,,C++,,,HTML5,,
,,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,
Java,,,,,,,,,C++,,,,,
Java,,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Java,,,,,,,SQL,C#,C++,,,,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,,Python,,,,,C++,C,,,,
,,,PHP,,Objective-C,,SQL,,C++,C,Perl,,,
Java,,,,,,,SQL,,,,,HTML5,,
,JavaScript,CSS,,,,,SQL,C#,,,,,,
,,,,,,,,,,,,,,
Java,,,PHP,,,,,,,,,,,
,,,,,,,SQL,C#,,,,,,
Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,
Java,JavaScript,,,,,,SQL,,C++,C,,,,
Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
Java,,,,,,,SQL,,,,,,,
,,CSS,,,,,,C#,,,,,,
,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Java,,,,,,,,,,,,,,
Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,VB.NET
,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,,,,,ASP.NET
,,,PHP,,,,,,,,,,,
,,,,,,,,,,,,,,
,,CSS,PHP,Python,,,SQL,C#,C++,,,HTML5,,
,,,,,,,,,,,,,,
,,,,,,,SQL,C#,,,,,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
,JavaScript,CSS,PHP,,,,SQL,,C++,,Perl,HTML5,,
,JavaScript,CSS,,,,,SQL,C#,,,,,,
,JavaScript,CSS,PHP,,,,SQL,,,,,,,mIRC Scripting Language
,,,,,,,SQL,C#,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,JavaScript,,PHP,,,,SQL,,,,,HTML5,,
Java,JavaScript,CSS,,,,,SQL,C#,,,,,,
,,CSS,PHP,,,Ruby,,C#,C++,,,,,
Java,,,,Python,,Ruby,SQL,,C++,C,,,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,
Java,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,,,,,,,SQL,,C++,,,,,
,,,,,,,,,,C,,,,ASCET
Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,
,,,,,,,,,,,,,,
,,,,,,,SQL,C#,C++,,,,,
,JavaScript,CSS,PHP,,,,,,,,,,,
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,
Java,,,,,,,SQL,C#,,,,,,
,,,,,,,,C#,C++,,,,,
Java,JavaScript,CSS,PHP,,,,,,,C,,HTML5,,
Java,JavaScript,,,,,,SQL,,C++,C,,HTML5,,clojure
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,HTML5,,
,,,,,,,,,,,,,,
,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,,,HTML5,,
,,,,,,,SQL,C#,C++,C,,,,Brainfuck
Java,,,,,Objective-C,,,C#,C++,,,,,
,,,,,Objective-C,,,C#,,,,,,
Java,,,,,,,,C#,,,,,,vb6
,,,,,,,SQL,C#,,,,,,
,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,
Java,,,,,,,SQL,,C++,C,,,,
Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Java,,,,,Objective-C,,SQL,,,,,,,
Java,JavaScript,,,,,,,,,,,,,
,JavaScript,CSS,,,,,SQL,C#,,,,,,
Java,,,,,,,,,,,Perl,,,
,,,,,,,,,,C,,,,
,,,,Python,Objective-C,,SQL,C#,C++,C,,,,
Java,,,,,,,,,,,,,,Groovy
Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,VB.NET
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,
,JavaScript,,,,,Ruby,SQL,,,,,HTML5,,
Java,JavaScript,CSS,PHP,,,,SQL,,C++,C,,,,
,,,,,,,SQL,,C++,C,,,,
,,,,Python,,,SQL,,,C,Perl,,,
Java,JavaScript,CSS,,,,,,,,,,HTML5,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,,,Objective-C,,,,,,,HTML5,,
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Java,JavaScript,CSS,PHP,,,,,,C++,C,,,,VB.NET
,JavaScript,,,Python,,,SQL,C#,,,,,,
Java,,,,,,,,,,,,,,
Java,,,,,,,SQL,,C++,C,,,,
,JavaScript,CSS,PHP,,,,,C#,,,,,,Delphi
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Java,,,,,,,,,,C,,,,
,,CSS,PHP,,,,,C#,,,,HTML5,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,
,,,,,,,,,,,,,,
,JavaScript,CSS,,,,,SQL,C#,,,,,,
,,,,,,,,,,,,,,
,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,
,,,,,,,,,C++,,,,,
Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,
Java,JavaScript,,,,,,SQL,C#,,,,,,
Java,,,,,Objective-C,,,,C++,C,,HTML5,,
,,CSS,,,,,SQL,C#,,,,HTML5,,
,,,,,,,,,,,,,,
Java,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,,,,,SQL,,,C,,,,
,,,,,,Ruby,SQL,C#,C++,,,,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,HTML5,,
,JavaScript,CSS,,,,,SQL,C#,,,,,,
Java,JavaScript,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,JavaScript,CSS,,Python,Objective-C,,SQL,C#,C++,C,Perl,,,Asp.net
,JavaScript,,,Python,,,SQL,,,,,HTML5,,jquery
,,,,Python,,,,C#,C++,,,,,R
,JavaScript,,PHP,,,,,,,,,HTML5,,
,,,,,,,,,,,,,,
Java,,,,Python,Objective-C,,,C#,C++,C,,,,"Clojure, Matlab"
,JavaScript,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,C#,,,,,,
Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,C,,HTML5,,
Java,,CSS,PHP,,,,SQL,,,,,HTML5,,
Java,,,PHP,Python,,,SQL,,,C,,,,
,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
Java,,,PHP,Python,,,,,C++,,,,,
,,,,Python,Objective-C,,,,,C,,,,
,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
,,,,,,,SQL,C#,,,,,,
,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
,,CSS,PHP,,,,SQL,C#,,,,HTML5,,
,,,,,Objective-C,,,,,,,,,
Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,C,,,,BASIC
,,,,Python,,,SQL,C#,C++,C,,,,XSL
,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,
Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,,,HTML5,,
Java,JavaScript,,,,,,SQL,C#,,,,HTML5,,
,,,,,,,,,,,,,,
,,,PHP,,,,SQL,,,,,,,Bash
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
,JavaScript,CSS,PHP,,Objective-C,,SQL,,,C,,HTML5,,
,,,,,Objective-C,,,,,,,,,
Java,,,,,Objective-C,,,,,,,,,
,,,,,,,,,,,,,,"Learning PHP, C, C++, Java, and a few others. So I can't say I'm proficient in any."
,JavaScript,CSS,,,,,SQL,,,,,,,Classic-ASP
Java,,,,,,,,,,,,,,
Java,,,,,,,,,,,,,,Haskell
,JavaScript,CSS,,,,,SQL,C#,C++,,,,,
Java,JavaScript,,PHP,Python,,,SQL,,C++,C,,,,
Java,,,,,,,,,,,,,,
Java,JavaScript,,,,Objective-C,,,C#,C++,C,,HTML5,,
Java,,,,,,,SQL,C#,C++,C,Perl,,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,,Python,,Ruby,SQL,C#,C++,,,,,
Java,JavaScript,CSS,,,Objective-C,Ruby,,C#,,,,HTML5,,
,,,,,,,,,,,,,,
Java,,,,,Objective-C,,,,C++,C,,,,
Java,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,,,C,Perl,HTML5,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,
,,CSS,PHP,,,,,,,,,HTML5,,
Java,,,,,,,,C#,C++,C,,,,
,JavaScript,,,,,,SQL,C#,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Matlab
Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,HTML5,,
,,,,,,,,,,,,,,
Java,JavaScript,,,,,,,,,,,HTML5,,
Java,JavaScript,CSS,,Python,,,SQL,,,C,,HTML5,,
Java,,,,,,,,,,,,,,
Java,JavaScript,CSS,,Python,Objective-C,Ruby,SQL,C#,,C,,,,Lua
Java,,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,,,,SQL,C#,,C,,,,
,,,,,,,,,,,,,,
Java,,,,Python,,,,,,C,,,,
,JavaScript,,,,,,SQL,C#,,,,,,
,,,,,,,SQL,C#,C++,,,,,
Java,JavaScript,,,,,,SQL,,,,,,,
,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Java,,,,Python,Objective-C,,,,,,,,,
,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
,,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,
,JavaScript,CSS,PHP,Python,,,SQL,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,JavaScript,CSS,,Python,,,,,,,,HTML5,,
Java,,,,,Objective-C,,,,C++,C,,,,
,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
,,,PHP,,,,SQL,,C++,C,,,,Delphi
,,,,,,,,,,,,,,
Java,JavaScript,CSS,PHP,,,,,,,,,,,
Java,,,,,,,,C#,,,,HTML5,,
