,JavaScript,,,,,,,,,,,
Java,,,,,,SQL,,,C,,,
Java,JavaScript,,,,,SQL,,,,,,
Java,,,,,,,,,,,,Haskell
Java,JavaScript,CSS,PHP,,,SQL,,C++,C,Perl,,
,JavaScript,,,,,SQL,C#,,,,,
,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,
,JavaScript,CSS,PHP,,,SQL,,,,,,
,,,,,,,C#,,,,,
,,,,,,,,,,,,
,,,,,,SQL,C#,C++,C,,,
,JavaScript,,,Python,,SQL,,C++,C,Perl,,
,,,,,,,C#,,,,,
Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
Java,,,,Python,,SQL,,,,,,
,JavaScript,CSS,,,,SQL,C#,,,Perl,,VB
Java,,,,Python,,SQL,C#,,C,,,MATLAB
,,,,,,SQL,C#,,,,,
Java,JavaScript,CSS,PHP,,,,,,,,,
Java,,,,Python,,,C#,,,,,
,JavaScript,CSS,,,,SQL,C#,,,,,
Java,,,,Python,,,,C++,,,,
,,,PHP,,,SQL,C#,C++,C,,,
,JavaScript,CSS,,,,SQL,C#,,,,,
,,,,,,SQL,C#,,,,,
,,CSS,,,,SQL,C#,C++,,,,
,,,,,,SQL,C#,,,,,
Java,,,,,,SQL,C#,,,,,
,,,,,,,,,,,,
,JavaScript,CSS,,,,SQL,C#,,,,,
Java,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,C,,,
Java,,,PHP,Python,,,,C++,C,,,
,JavaScript,CSS,,,,SQL,C#,,,,,
Java,JavaScript,,,Python,,,,,,,,
,,,,,,,,,,,,
Java,JavaScript,,,,,,,,,,,Objective-C 2.0
,JavaScript,CSS,,,,,,,,,,
Java,,,,,,SQL,C#,,,,,
,JavaScript,,,,,SQL,C#,,,,,
,JavaScript,,,,,,C#,,,,,
,,,,,,,C#,C++,,,,
,,,,,,,,,,,,Objective-C
Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,
,,CSS,,Python,,,,,,,,
Java,JavaScript,CSS,,,,SQL,C#,,,,,
,JavaScript,CSS,PHP,,,SQL,,,C,,,
Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,
,JavaScript,CSS,,,,SQL,,,,,,VBA
,JavaScript,,,,,SQL,C#,,,,,
,,,,,,SQL,C#,,,,,"VB.NET, WPF, Silverlight, Entity-Framework"
Java,,,,,,,,,C,,,
Java,JavaScript,CSS,PHP,,,SQL,,,,,,
,JavaScript,CSS,PHP,,Ruby,,C#,C++,C,,,
,,,,Python,,,,,,,,
Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,
,JavaScript,,,,,SQL,C#,,C,,,
Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
,,,,Python,,,,C++,C,,,
,JavaScript,CSS,,,,SQL,C#,,,,,
Java,,,,,,SQL,C#,C++,C,,,
Java,,,,,,,,,C,Perl,,Ada
,JavaScript,,,,,SQL,C#,,,,,
,JavaScript,CSS,PHP,Python,,SQL,,,,,,ASP Classic
,,CSS,PHP,,,SQL,,,,Perl,,
,JavaScript,,,,,SQL,C#,,,,,
,JavaScript,CSS,,Python,,,C#,C++,C,,,
,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,
,,,,Python,,,,C++,C,,,
Java,JavaScript,CSS,PHP,,,SQL,,,,,,
Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
,,,,,,SQL,C#,,,,,
,,,,,,,,,,,,
